Pick,Team,Player,Position,School,Height,Weight,Class,Age,PPG,RPG,APG,BPG,SPG
1,WAS,AJ Dybantsa,SF,BYU,6-9.75,217,Freshman,19.4,26.4,7.1,3.8,0.4,1.1
2,UTA,Darryn Peterson,SG/PG,Kansas,6-5.75,199,Freshman,19.4,25.0,5.2,2.0,0.8,1.8
3,MEM,Cameron Boozer,PF,Duke,6-9.5,253,Freshman,18.9,24.2,11.0,4.4,0.7,1.5
4,CHI,Caleb Wilson,SF/PF,North Carolina,6-10.5,211,Freshman,19.9,22.8,10.8,3.1,1.6,1.7
5,LAC,Keaton Wagler,SG/PG,Illinois,6-6.25,188,Freshman,19.4,19.0,5.4,4.5,0.4,1.0
6,BKN,Mikel Brown Jr.,PG,Louisville,6-4.75,190,Freshman,20.2,22.4,4.1,5.8,0.2,1.5
7,SAC,Darius Acuff Jr.,PG,Arkansas,6-3.25,186,Freshman,19.6,24.1,3.2,6.6,0.3,0.9
8,ATL,Kingston Flemings,PG,Houston,6-3.75,183,Freshman,19.5,18.2,4.6,5.9,0.4,1.7
9,DAL,Brayden Burries,SG/PG,Arizona,6-5,215,Freshman,20.8,19.4,5.9,2.9,0.2,1.8
10,MIL,Nate Ament,SF,Tennessee,6-10.75,211,Freshman,19.5,20.2,7.7,2.8,0.8,1.2
11,GS,Yaxel Lendeborg,PF,Michigan,6-10,241,Senior,23.7,18.0,8.1,3.9,1.5,1.3
12,OKC,Morez Johnson Jr.,PF/C,Michigan,6-10.25,251,Sophomore,20.4,18.8,10.5,1.7,1.6,1.0
13,MIL,Hannes Steinbach,PF,Washington,6-11.5,248,Freshman,20.1,19.3,12.2,1.6,1.3,1.1
14,CHA,Aday Mara,C,Michigan,7-4.25,260,Junior,21.2,18.6,10.4,3.7,4.0,0.5
15,CHI,Cameron Carr,SG,Baylor,6-5.75,184,Sophomore,21.6,20.2,6.2,2.8,1.4,0.9
16,MEM,Christian Anderson,PG,Texas Tech,6-2.25,180,Sophomore,20.2,17.4,3.4,6.9,0.2,1.4
17,OKC,Karim Lopez,SF,New Zealand,6-9.5,222,International,19.2,16.8,8.5,2.7,1.5,1.6
18,CHA,Allen Graves,PF,Santa Clara,6-9,226,Freshman,19.9,18.8,10.4,2.9,1.5,3.0
19,TOR,Ebuka Okorie,PG,Stanford,6-2.5,186,Freshman,19.2,23.8,3.7,3.7,0.3,1.6
20,SA,Chris Cenac Jr.,PF/C,Houston,6-11.5,240,Freshman,19.4,13.8,11.4,1.1,0.7,1.1
21,DET,Labaron Philon Jr.,PG,Alabama,6-3.75,176,Sophomore,20.6,25.6,4.1,5.8,0.2,1.3
22,PHI,Koa Peat,PF,Arizona,6-8.25,245,Freshman,19.4,18.3,7.3,3.3,0.9,0.8
23,ATL,Tarris Reed Jr.,C,UConn,6-11,264,Senior,22.9,19.4,11.8,3.0,2.6,1.2
24,NY,Dailyn Swain,SG/SF,Texas,6-7.75,211,Junior,20.9,19.0,8.3,3.9,0.3,1.8
25,LAL,Zuby Ejiofor,PF,St. John's,6-8.75,245,Senior,22.2,19.6,8.8,4.3,2.6,1.4
26,DEN,Bennett Stirtz,PG,Iowa,6-3.75,186,Senior,22.7,18.9,2.5,4.2,0.2,1.3
27,BOS,Joshua Jefferson,PF/SF,Iowa State,6-9,246,Senior,22.6,19.1,8.6,5.6,1.0,1.9
28,BKN,Henri Veesaar,C,North Carolina,7-0.5,227,Junior,22.2,19.5,10.0,2.4,1.4,0.7
29,CLE,Isaiah Evans,SF,Duke,6-6.75,186,Sophomore,20.5,19.2,4.1,1.6,0.8,0.9
30,DAL,Sergio de Larrea,PG/SG,Valencia,6-7.25,204,International,20.5,17.5,5.4,6.6,0.6,1.2
