Predicted Pick,Team,Player,Position,School,DraftScore
1,WAS,Cameron Boozer,PF,Duke,12.98
2,UTA,AJ Dybantsa,SF,BYU,12.889999999999999
3,MEM,Labaron Philon Jr.,PG,Alabama,12.370000000000003
4,CHI,Caleb Wilson,SF/PF,North Carolina,12.230000000000002
5,LAC,Darius Acuff Jr.,PG,Arkansas,11.72
6,BKN,Darryn Peterson,SG/PG,Kansas,11.7
7,SAC,Ebuka Okorie,PG,Stanford,11.190000000000001
8,ATL,Mikel Brown Jr.,PG,Louisville,11.11
9,DAL,Tarris Reed Jr.,C,UConn,11.1
10,MIL,Zuby Ejiofor,PF,St. John's,10.860000000000001
11,GS,Joshua Jefferson,PF/SF,Iowa State,10.77
12,OKC,Hannes Steinbach,PF,Washington,10.72
13,MIL,Aday Mara,C,Michigan,10.710000000000003
14,CHA,Allen Graves,PF,Santa Clara,10.630000000000003
15,CHI,Henri Veesaar,C,North Carolina,10.490000000000002
16,MEM,Nate Ament,SF,Tennessee,10.38
17,OKC,Dailyn Swain,SG/SF,Texas,10.25
18,CHA,Morez Johnson Jr.,PF/C,Michigan,10.22
19,TOR,Cameron Carr,SG,Baylor,10.110000000000001
20,SA,Yaxel Lendeborg,PF,Michigan,9.88
21,DET,Brayden Burries,SG/PG,Arizona,9.719999999999999
22,PHI,Keaton Wagler,SG/PG,Illinois,9.719999999999999
23,ATL,Koa Peat,PF,Arizona,9.610000000000001
24,NY,Kingston Flemings,PG,Houston,9.589999999999998
25,LAL,Sergio de Larrea,PG/SG,Valencia,9.58
26,DEN,Karim Lopez,SF,New Zealand,9.270000000000001
27,BOS,Christian Anderson,PG,Texas Tech,9.18
28,BKN,Bennett Stirtz,PG,Iowa,9.049999999999999
29,CLE,Isaiah Evans,SF,Duke,8.99
30,DAL,Chris Cenac Jr.,PF/C,Houston,8.200000000000001
