Pick,Team,Player,Position,School,Height,Weight,Class,Age,PPG,RPG,APG,BPG,SPG,DraftScore,Predicted Pick
3,WAS,Cameron Boozer,PF,Duke,6-9.5,253,Freshman,18.9,24.2,11.0,4.4,0.7,1.5,12.98,1
1,UTA,AJ Dybantsa,SF,BYU,6-9.75,217,Freshman,19.4,26.4,7.1,3.8,0.4,1.1,12.889999999999999,2
21,MEM,Labaron Philon Jr.,PG,Alabama,6-3.75,176,Sophomore,20.6,25.6,4.1,5.8,0.2,1.3,12.370000000000003,3
4,CHI,Caleb Wilson,SF/PF,North Carolina,6-10.5,211,Freshman,19.9,22.8,10.8,3.1,1.6,1.7,12.230000000000002,4
7,LAC,Darius Acuff Jr.,PG,Arkansas,6-3.25,186,Freshman,19.6,24.1,3.2,6.6,0.3,0.9,11.72,5
2,BKN,Darryn Peterson,SG/PG,Kansas,6-5.75,199,Freshman,19.4,25.0,5.2,2.0,0.8,1.8,11.7,6
19,SAC,Ebuka Okorie,PG,Stanford,6-2.5,186,Freshman,19.2,23.8,3.7,3.7,0.3,1.6,11.190000000000001,7
6,ATL,Mikel Brown Jr.,PG,Louisville,6-4.75,190,Freshman,20.2,22.4,4.1,5.8,0.2,1.5,11.11,8
23,DAL,Tarris Reed Jr.,C,UConn,6-11,264,Senior,22.9,19.4,11.8,3.0,2.6,1.2,11.1,9
25,MIL,Zuby Ejiofor,PF,St. John's,6-8.75,245,Senior,22.2,19.6,8.8,4.3,2.6,1.4,10.860000000000001,10
27,GS,Joshua Jefferson,PF/SF,Iowa State,6-9,246,Senior,22.6,19.1,8.6,5.6,1.0,1.9,10.77,11
13,OKC,Hannes Steinbach,PF,Washington,6-11.5,248,Freshman,20.1,19.3,12.2,1.6,1.3,1.1,10.72,12
14,MIL,Aday Mara,C,Michigan,7-4.25,260,Junior,21.2,18.6,10.4,3.7,4.0,0.5,10.710000000000003,13
18,CHA,Allen Graves,PF,Santa Clara,6-9,226,Freshman,19.9,18.8,10.4,2.9,1.5,3.0,10.630000000000003,14
28,CHI,Henri Veesaar,C,North Carolina,7-0.5,227,Junior,22.2,19.5,10.0,2.4,1.4,0.7,10.490000000000002,15
10,MEM,Nate Ament,SF,Tennessee,6-10.75,211,Freshman,19.5,20.2,7.7,2.8,0.8,1.2,10.38,16
24,OKC,Dailyn Swain,SG/SF,Texas,6-7.75,211,Junior,20.9,19.0,8.3,3.9,0.3,1.8,10.25,17
12,CHA,Morez Johnson Jr.,PF/C,Michigan,6-10.25,251,Sophomore,20.4,18.8,10.5,1.7,1.6,1.0,10.22,18
15,TOR,Cameron Carr,SG,Baylor,6-5.75,184,Sophomore,21.6,20.2,6.2,2.8,1.4,0.9,10.110000000000001,19
11,SA,Yaxel Lendeborg,PF,Michigan,6-10,241,Senior,23.7,18.0,8.1,3.9,1.5,1.3,9.88,20
9,DET,Brayden Burries,SG/PG,Arizona,6-5,215,Freshman,20.8,19.4,5.9,2.9,0.2,1.8,9.719999999999999,21
5,PHI,Keaton Wagler,SG/PG,Illinois,6-6.25,188,Freshman,19.4,19.0,5.4,4.5,0.4,1.0,9.719999999999999,22
22,ATL,Koa Peat,PF,Arizona,6-8.25,245,Freshman,19.4,18.3,7.3,3.3,0.9,0.8,9.610000000000001,23
8,NY,Kingston Flemings,PG,Houston,6-3.75,183,Freshman,19.5,18.2,4.6,5.9,0.4,1.7,9.589999999999998,24
30,LAL,Sergio de Larrea,PG/SG,Valencia,6-7.25,204,International,20.5,17.5,5.4,6.6,0.6,1.2,9.58,25
17,DEN,Karim Lopez,SF,New Zealand,6-9.5,222,International,19.2,16.8,8.5,2.7,1.5,1.6,9.270000000000001,26
16,BOS,Christian Anderson,PG,Texas Tech,6-2.25,180,Sophomore,20.2,17.4,3.4,6.9,0.2,1.4,9.18,27
26,BKN,Bennett Stirtz,PG,Iowa,6-3.75,186,Senior,22.7,18.9,2.5,4.2,0.2,1.3,9.049999999999999,28
29,CLE,Isaiah Evans,SF,Duke,6-6.75,186,Sophomore,20.5,19.2,4.1,1.6,0.8,0.9,8.99,29
20,DAL,Chris Cenac Jr.,PF/C,Houston,6-11.5,240,Freshman,19.4,13.8,11.4,1.1,0.7,1.1,8.200000000000001,30
